# ID	lat[deg]	long[deg]	czHelio[km/s]	Ks	group	groupSize	latGroup[deg]	longGroup[deg]	czGroupHelio[km/s]
09210836-3153244	12.6116	259.2267	1863	10.975	102004	2	12.5169	259.8844	1764
09211287+4457105	44.8373	175.3377	8234	10.887	107712	1	44.8374	175.3377	8234
09211152+6415117	40.2210	149.7859	1592	11.242	101247	3	40.2356	149.8553	1632
09211668+2431050	42.9777	203.7297	10148	11.398	100599	4	43.3677	203.9587	10058
09211877+1812488	41.0565	211.8162	8688	11.540	101346	3	40.9970	211.8249	8640
09212307+1813255	41.0760	211.8114	8612	11.515	101346	3	40.9970	211.8249	8640
09212215+5451541	43.2030	161.7251	13396	11.254	100169	8	43.3852	161.3366	14038
09212421+1933595	41.5378	210.1328	8600	11.599	109234	1	41.5378	210.1328	8600
09212749-1154341	25.8546	243.3263	1793	8.054	109980	1	25.8547	243.3263	1793
09213842+1357580	39.5261	217.0129	10415	11.734	107672	1	39.5261	217.0129	10415
09214556+6415288	40.2763	149.7494	1574	9.902	101247	3	40.2356	149.8553	1632
09214723-3319010	11.7232	260.3773	9518	11.334	107694	1	11.7233	260.3774	9518
09214802+4009043	45.1528	182.1169	1486	9.992	112785	1	45.1528	182.1169	1486
09215147+3324070	44.7816	191.6475	7066	10.297	100034	19	44.4604	191.1429	6680
09215786+3300229	44.7568	192.2045	6264	11.706	100034	19	44.4604	191.1429	6680
09220265+5058353	44.1514	166.9422	638	6.153	110426	1	44.1514	166.9422	638
09220451+7150383	37.0649	140.9398	3572	9.201	102701	2	37.0622	140.9020	3602
09221034+3350549	44.8962	191.0317	6985	10.223	100034	19	44.4604	191.1429	6680
09220349+1712450	40.8653	213.1386	10721	11.331	106461	1	40.8653	213.1386	10721
09221622-0102248	32.4106	233.3853	16596	11.522	101775	2	32.5527	233.1368	16731
09221759+0442299	35.4515	227.5031	8388	11.528	109063	1	35.4515	227.5030	8388
09222490-6102582	-7.7755	280.2064	2152	8.830	200088	12	-7.3118	281.2113	2555
09222945+4715451	44.8123	172.0666	9050	11.614	108839	1	44.8123	172.0666	9050
09222944+5025480	44.3219	167.6734	7974	11.125	100438	5	44.7548	167.4689	7747
09223514+0845129	37.4712	223.1431	9514	11.543	108046	1	37.4712	223.1431	9514
09225304+2158309	42.6238	207.1986	10158	10.527	100178	8	42.7484	206.7051	9808
09223819+6051550	41.5954	153.8897	7760	11.668	109582	1	41.5954	153.8897	7760
09225052-3841435	8.1145	264.4325	4867	10.796	100153	9	8.2627	264.2424	4779
09225500+0309249	34.7933	229.2312	3640	9.934	110840	1	34.7933	229.2312	3640
09225753-3841225	8.1349	264.4445	4824	10.546	100153	9	8.2627	264.2424	4779
09225694+0126029	33.8951	231.0119	5234	10.987	111101	1	33.8952	231.0119	5234
09230105-3226591	12.5112	259.9223	1664	7.365	102004	2	12.5169	259.8844	1764
