# pgc	lat[deg]	long[deg]	czHelio[km/s]	mu	muError	group	groupSize	latGroup[deg]	longGroup[deg]	czGroupHelio[km/s]	muGroup	muGroupError
149073	-22.5626	261.7816	11047	35.99	0.50	0	1	-22.56	261.78	11047	35.99	0.50
149085	-15.5364	240.7533	13398	35.15	0.50	205217	1	-15.54	240.75	13398	35.15	0.50
149149	-14.2995	238.6027	12496	35.64	0.50	206049	1	-14.30	238.60	12496	35.64	0.50
149152	-19.4325	252.3105	9809	35.12	0.50	207915	1	-19.43	252.31	9809	35.12	0.50
149159	-17.2078	246.1300	9171	35.51	0.50	200247	7	-17.08	246.38	9450	35.96	0.31
149249	-22.6955	265.4236	15411	36.25	0.50	200826	6	-22.39	265.27	15762	36.58	0.13
149274	-20.5703	263.4274	14311	36.97	0.50	0	1	-20.57	263.43	14311	36.97	0.50
149394	-19.1060	261.2812	11380	35.85	0.50	0	1	-19.11	261.28	11380	35.85	0.50
149412	-18.4552	259.5664	12404	35.99	0.50	200051	16	-17.89	259.72	12733	36.28	0.11
149417	-13.6540	247.4323	9314	35.54	0.50	201132	3	-13.60	247.20	9428	35.54	0.50
149421	-23.6968	277.7470	4639	35.08	0.50	211741	1	-23.70	277.75	4639	35.08	0.50
149438	-21.7275	270.6352	9630	35.02	0.50	201074	3	-21.84	270.66	9450	35.02	0.50
149451	-22.9625	276.2400	12410	35.94	0.50	205416	1	-22.96	276.24	12410	35.94	0.50
149823	-16.4545	261.6663	12117	35.79	0.50	0	1	-16.45	261.67	12117	35.79	0.50
149848	-18.2557	266.5688	15156	35.58	0.50	203891	1	-18.26	266.57	15156	35.58	0.50
149895	-15.6185	260.5321	15525	37.17	0.50	0	1	-15.62	260.53	15525	37.17	0.50
149937	-15.8417	261.4358	15027	36.84	0.50	0	1	-15.84	261.44	15027	36.84	0.50
149978	-15.7428	261.4449	12494	35.62	0.50	201784	2	-15.74	261.41	12371	35.62	0.50
150000	-16.0125	262.2309	12622	36.52	0.50	200294	6	-15.68	262.96	12047	35.92	0.19
150062	-15.4133	262.0379	15614	36.64	0.50	203688	1	-15.41	262.04	15614	36.64	0.50
150081	-21.6412	279.0791	7371	35.35	0.50	209178	1	-21.64	279.08	7371	35.35	0.50
150082	-21.2751	277.9516	12491	36.25	0.50	205768	1	-21.28	277.95	12491	36.25	0.50
150097	-20.2447	275.1255	12344	36.20	0.50	0	1	-20.24	275.13	12344	36.20	0.50
150113	-14.5287	262.0358	12745	36.69	0.50	0	1	-14.53	262.04	12745	36.69	0.50
150221	-15.1552	264.0562	12525	35.65	0.50	0	1	-15.16	264.06	12525	35.65	0.50
150266	-16.7400	268.0604	10096	35.07	0.50	205530	1	-16.74	268.06	10096	35.07	0.50
150281	-14.4608	262.9774	12416	36.14	0.50	202654	2	-14.51	263.00	12402	36.14	0.50
150310	-15.3103	266.6316	8437	34.85	0.50	207688	1	-15.31	266.63	8437	34.85	0.50
150402	-16.2295	269.3849	15092	36.15	0.50	0	1	-16.23	269.38	15092	36.15	0.50
150561	-13.9810	265.1800	11902	35.61	0.50	0	1	-13.98	265.18	11902	35.61	0.50
151037	-21.2420	284.9986	8360	35.33	0.50	201110	3	-20.84	285.04	8319	35.08	0.23
151176	12.7712	225.1614	11155	35.43	0.50	106407	1	12.77	225.16	11155	35.43	0.50
151277	12.7630	226.1125	15594	36.61	0.50	100953	3	12.99	226.32	15834	36.61	0.50
151298	11.7282	228.1286	12510	36.05	0.50	0	1	11.73	228.13	12510	36.05	0.50
151597	15.9525	224.3207	15675	37.33	0.50	0	1	15.95	224.32	15675	37.33	0.50
151931	16.0825	224.9736	15764	37.11	0.50	0	1	16.08	224.97	15764	37.11	0.50
152000	-16.2443	277.8585	13375	36.80	0.50	0	1	-16.24	277.86	13375	36.80	0.50
152062	12.9870	231.9007	10645	36.48	0.50	0	1	12.99	231.90	10645	36.48	0.50
152088	-14.5611	275.7295	8855	35.37	0.50	207922	1	-14.56	275.73	8855	35.37	0.50
152156	14.8522	232.1459	14064	36.53	0.50	105048	1	14.85	232.15	14064	36.31	0.35
152166	18.1202	226.5172	15409	35.96	0.50	101761	2	18.04	226.42	15264	36.66	0.29
152192	19.1804	224.7427	15211	35.77	0.50	104239	1	19.18	224.74	15211	35.77	0.50
152218	14.3833	233.3121	14171	35.81	0.50	0	1	14.38	233.31	14171	35.81	0.50
152234	14.0432	233.9906	14091	36.65	0.50	104813	1	14.04	233.99	14091	36.65	0.50
152356	20.0095	224.7041	11374	35.68	0.50	101574	2	20.16	225.21	11223	35.61	0.29
152440	13.8907	236.5573	15683	36.52	0.50	0	1	13.89	236.56	15683	36.52	0.50
152454	14.0165	236.4321	15423	36.47	0.50	0	1	14.02	236.43	15423	36.47	0.50
152578	17.0887	232.4488	14239	36.36	0.50	0	1	17.09	232.45	14239	36.36	0.50
152689	15.2871	235.9019	15699	36.37	0.50	0	1	15.29	235.90	15699	36.37	0.50
152727	19.8340	228.5884	12250	37.94	0.50	101032	3	20.36	229.09	12142	36.41	0.19
152739	19.4376	229.5012	12120	36.51	0.50	101909	2	19.50	229.84	12217	37.04	0.35
152740	20.2577	228.0433	9977	36.24	0.50	101234	3	20.52	227.88	9882	35.54	0.35
152754	22.1818	225.2390	12370	35.15	0.50	0	1	22.18	225.24	12370	35.15	0.50
152759	20.6366	228.1833	12384	35.80	0.50	101032	3	20.36	229.09	12142	36.41	0.19
152760	20.6294	228.2012	12438	36.30	0.50	101032	3	20.36	229.09	12142	36.41	0.19
152788	20.4817	228.7201	9156	35.53	0.50	100411	5	19.98	228.79	9546	36.04	0.22
